,COL17A1,NTSR1,DHRS9,MSLN,GPRC5A,LAMC2,S100A2,GJB2,HMGA2,AREG,AHNAK2,KLHL32,CLIC3,WNT10A,IL20RB,CDA,MUC4,POSTN,SEMA7A,SLC2A1,FN1,INHBA,ori_class
cf825b86-7ec2-4e90-bcce-3b5637b90b70,8.856762121229012,6.872677472619681,9.633792506429213,10.139052635452154,8.87847760238599,12.51255487131315,8.30771542150688,9.26150899354959,5.010581138393764,13.189200669183343,8.047215091448255,14.945099270147498,11.042534375828282,10.644534573302218,11.556348957196487,14.332040993022334,8.126209265609287,18.973368667771847,11.848367502868214,17.36839764460128,17.917917646918,16.012793491978137,L
d211e0c1-7968-4343-8aae-27fab0039367,15.135297269201986,11.000270722513335,16.594771968275733,14.086073639713243,17.129887958510615,19.69846858606908,16.46158799620243,18.243176140613635,10.69456773680994,20.690876535729558,11.684280642481829,18.51357194088533,15.027523230284743,10.395158364752717,13.047140774855214,16.199990426287318,19.192863116775353,15.99710463816766,14.656682236293324,20.25296419368268,18.019852262257206,15.02826184639009,L
2be42cc2-9b97-4821-afc2-d1e42eb3932d,20.10982289792334,17.374872418135624,17.592153932731964,21.806282314191716,20.940090508827616,21.820787144506117,16.986136820510207,19.903989832878644,16.08152380263787,22.007170482355953,17.104312757925477,11.83734907620573,18.130417219740163,16.373810168090856,13.306314410754288,19.001013328507042,16.026105438269376,21.125410668199407,19.000548840274227,20.57401864155608,21.02728032708254,17.466611276485203,D
6788e0e5-b67f-4fe6-aabb-6d0430ae2d06,18.772870387231617,12.836164054612215,18.414061801827966,19.716822291842018,19.741693254699907,20.507599777263163,16.662523433803177,18.979624923457944,12.333148813693414,18.8860060928456,16.16661981689136,11.351600894549707,18.416346329754585,16.23973742471594,14.435157824374238,16.340808454321436,14.021917733170227,20.429335599684634,18.678102695976566,18.251861527622935,21.473717799437555,17.561652489469957,COL
620e0648-ec20-4a12-a6cb-5546fe829c77,12.802745648723121,9.20722628802863,14.758418252470026,11.82723840548292,19.67689133044057,19.439593083387365,16.117997667885792,18.353169976240274,12.30706191297068,15.848776818142078,14.959696205511596,13.120694201940449,13.424388906025044,13.716048982872353,13.042900866055044,15.432124554799703,11.367648676628962,20.059883835379793,16.60217428387844,17.333855852997637,22.688030414683798,17.9283037654412,COL
712c2f78-c736-42ce-b689-a954c5290987,21.887366867917166,18.78394293274882,19.8253630258548,20.789570217926116,22.092632600998527,22.927223869925417,23.273374088597606,21.421328357258442,17.526437905993507,21.161102199844944,19.07474167286492,10.38518965641866,19.701914308949235,18.15313862557449,17.25910843738212,19.790447488441444,18.32830456961072,18.878381627208256,18.06615413169007,21.34698684825832,22.480759764573396,17.90959144661616,HA
570f9947-1ce5-49c7-9619-49439df6c7a9,17.643508531096472,13.399218039256995,17.077870912876367,17.81481921087418,18.44716859424735,20.790544747935545,18.80151920173938,19.674241163133413,13.26294674159645,17.709762383338287,16.795355171991517,12.32273961783427,16.20967214216578,13.818558725217905,14.67195642289713,17.20544755630652,14.200237627550843,22.157419067062524,17.64217494816715,18.461251555810097,23.111516034564566,19.673994905347055,COL
10f0d40b-c4c4-441b-9cfb-bef5e44aa91e,18.897125094046256,17.2429298260246,17.046441948007313,24.10575867603971,21.714593165310465,21.865634061197035,17.617902829422693,19.601892042039886,12.569081446432016,19.382571565890746,17.770012105414708,11.407166779127651,21.61453511879453,16.666028837423895,18.017953473557963,19.660421517702936,15.833472214812641,20.59737681327503,20.675094885964747,22.569182532773752,21.50955418515625,17.409423328918734,HA
ede2e8a7-465e-4725-880d-519899aba0c0,20.814124711217783,15.35733013299096,18.816796635956585,22.86029603336962,22.18136009073681,21.87471318702028,18.334784887640126,20.944978143497135,14.821594139970694,17.367355275240335,18.319107312585167,9.78899861523863,19.35864857503298,18.519293039668558,15.365984496314072,19.044782180125043,17.06129775528407,17.711760391643637,19.1085840183883,21.923509924590466,18.955779399351233,15.659790557765675,L
b8e0f4fb-c916-43b8-afd2-8077a7e3aebc,19.30639753989384,14.408722628733805,20.820566002752845,20.215793093645104,20.979496145457272,20.284887121550756,16.523050460893884,19.12531918457824,13.833027955772064,16.49233348684893,17.32217411352064,9.238268059100248,17.768297260140674,12.681619746594004,13.467903248410405,18.29960069396366,14.823488462902693,18.744121378837495,16.951392325802694,18.56186148765668,20.65214620290943,16.752983684326736,L
